name,site,subtypes,category,type,phone,full_address,city,latitude,longitude,rating,reviews_link,reviews_tags,photo,street_view
Hi Life Premium Women's Stay PG HOSTEL. Sai,,"Guest house, Girls' hostel, Pilgrim hostel, Hostel, Working women's hostel",Guest house,Guest house,+91 91777 21778,"Vikram Hospital Ln, RBI Colony, Phase 2, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.440181,78.3919146,4.7,"https://search.google.com/local/reviews?placeid=ChIJmfzzejORyzsRsrEv9xvRegM&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOaAA6k_JWidSDcACdBwJJVCoorLzLFB2YTfpO8=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOaAA6k_JWidSDcACdBwJJVCoorLzLFB2YTfpO8=w1600-h1000-k-no
"Sri Harsha Mens PG, Madhapur",,"Backpacker Hostel, Hostel",Hostel,Backpacker Hostel,+91 90690 70908,"road no:17, signum market, SBH Officers Colony, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4511512,78.3911148,4.3,"https://search.google.com/local/reviews?placeid=ChIJu_vDU0iRyzsRZmgVrm_TiVg&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipMSrfDIg7Edf_GypRQi099ocGNFCqjknXgbSTnT=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMSrfDIg7Edf_GypRQi099ocGNFCqjknXgbSTnT=w1600-h1000-k-no
SS GRAND PG Womens Hostel,,Hostel,Student dormitory,Hostel,+91 91777 77585,"1-90/b, Padma Raga Appartments, c/3, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4428348,78.385631,4.4,"https://search.google.com/local/reviews?placeid=ChIJK7X3DxKRyzsRyzTqhJxMrxY&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XrcutcMitkMl2LUMYrzFEA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=3.681422&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XrcutcMitkMl2LUMYrzFEA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=3.681422&pitch=0&thumbfov=100
Honey PG womens hostel,,"Working women's hostel, Girls' hostel",Working women's hostel,Working women's hostel,+91 97036 20760,"Harijan Basti, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4427157,78.388507,4.2,"https://search.google.com/local/reviews?placeid=ChIJqWA5ljeRyzsR0ub3lrK4QJ0&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOEfqgxUdRQ6dwqOTmXew_TRIr8-FXPByPreI4r=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOEfqgxUdRQ6dwqOTmXew_TRIr8-FXPByPreI4r=w1600-h1000-k-no
Beehive Accomodations and Co-living,,"Backpacker Hostel, Hostel",Student dormitory,Backpacker Hostel,+91 94901 80266,"Plot no:210,road no 11, road, opposite to bluedart office, Hyderabad, Telangana 500081",Hyderabad,17.449267,78.3887315,4.5,"https://search.google.com/local/reviews?placeid=ChIJld1eIYORyzsRNoilfmO3_6c&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOJ3a4LMLXYFKUuzC5Rd7-FsIdrHObvCgTnwxcD=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOJ3a4LMLXYFKUuzC5Rd7-FsIdrHObvCgTnwxcD=w1600-h1000-k-no
VVN men's pg hostel,,"Backpacker Hostel, Hostel",Student dormitory,Backpacker Hostel,,"C9VR+5FM, 1-98/90/16/2, Post Office Rd, Megha Hills, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4429375,78.3911875,4.6,"https://search.google.com/local/reviews?placeid=ChIJG7AIDMGRyzsRb3K8bGsAD9M&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipM7UnpSAAPFCvibkcHz4xtVS9PcpjhuHecYH8Jn=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM7UnpSAAPFCvibkcHz4xtVS9PcpjhuHecYH8Jn=w1600-h1000-k-no
BLUE STAR GRAND GUEST HOUSE & COLIVING,,Guest house,Guest house,Guest house,,"Street No. 7, Ayyappa Society, Survey of India Colony, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4556366,78.3928282,4.5,"https://search.google.com/local/reviews?placeid=ChIJjfcbWWqRyzsRhVsUwYN9CAo&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOYaVY0abuiSJZ_9pc2XzaF5ACDAkmI3j8ZhZFY=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOYaVY0abuiSJZ_9pc2XzaF5ACDAkmI3j8ZhZFY=w1600-h1000-k-no
Mayuka PG Hostel,,Backpacker Hostel,Hostel,Backpacker Hostel,,"1191, Road No. 60, near Road Number 48, Mega Hills, office, Hyderabad, Telangana 500081",Hyderabad,17.4463417,78.3930415,4.5,"https://search.google.com/local/reviews?placeid=ChIJ2SuFjKCRyzsRpUsh-QhITNo&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipO46yhI0xyUSb3tPQxisL9TlpVApjmJvqVhZGk-=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO46yhI0xyUSb3tPQxisL9TlpVApjmJvqVhZGk-=w1600-h1000-k-no
Nest Femina - The Hostel,,Working women's hostel,Working women's hostel,Working women's hostel,+91 90636 90636,"H.No. 2-31/1, Plot No:32, Madhapur, Guttala_Begumpet, Jubilee Hills, Telangana 500033",Hyderabad,17.4395065,78.3953968,3.7,"https://search.google.com/local/reviews?placeid=ChIJ-Yt3UluRyzsRS5x_h26VrO0&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PC8-oeIK5p3werZQrGUwfg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=289.96628&pitch=0&thumbfov=100,https://lh5.googleusercontent.com/p/AF1QipPpRUVlzEL5zn3CVD5TujR7DqFZOZ9mhbdlYaT7=w1600-h1000-k-no
GSR Executive Men's Hostel,,"Boys' hostel, Backpacker Hostel, Hostel, Youth Hostel",Boys' hostel,Boys' hostel,+91 96425 21919,"Plot no 5, Shilparamam, beside N Convention Road, HITEC City, Hyderabad, Telangana 500081",Hyderabad,17.4549118,78.3808485,4.2,"https://search.google.com/local/reviews?placeid=ChIJbRjXsNmTyzsRhQzzO9woYYE&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipO6F-1Y_F116ioWRZ4uBEUv2nhjrbaRS8OsSbNH=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO6F-1Y_F116ioWRZ4uBEUv2nhjrbaRS8OsSbNH=w1600-h1000-k-no
Queens Luxury PG for Women,http://www.queenspg.com/,Working women's hostel,Working women's hostel,Working women's hostel,+91 90599 05901,"Plot No 20, N Convention Rd, opp. SHILPARAMAM, Cyber Hills Colony, HITEC City, Hyderabad, Telangana 500084",Hyderabad,17.4552406,78.3805234,4.4,"https://search.google.com/local/reviews?placeid=ChIJr-YqaLaTyzsRsYZH5sLUNeA&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipOdtEJ06CE7u23G863wpThscDuJ8I5heFuksK0Q=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOdtEJ06CE7u23G863wpThscDuJ8I5heFuksK0Q=w1600-h1000-k-no
KETHIREDDY WOMENS STAY,,"Working women's hostel, Home Stay",Working women's hostel,Working women's hostel,,"1-16, Hitech City Rd, beside Center for Organization Development, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4424172,78.3890543,4.9,"https://search.google.com/local/reviews?placeid=ChIJITh0OG-RyzsRZEcMs4mqWQw&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipMbZkK302LcAK8TTesDGpfeYgmAQsO69cxooQNz=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMbZkK302LcAK8TTesDGpfeYgmAQsO69cxooQNz=w1600-h1000-k-no
Sucasa Grand Women's Hostel,,Working women's hostel,Working women's hostel,Working women's hostel,+91 99591 31918,"2, 90/24/3 1-98/90/24, 3, Ayyappa Society Main Rd, Megha Hills, Sri Sai Nagar, Madhapur, Telangana 500081",Hyderabad,17.4422971,78.3924169,4,"https://search.google.com/local/reviews?placeid=ChIJ38gzV1yRyzsRjdyj3YFtXnI&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPpkcOcd6lur7SNSmDa2MeoWTzm1hCYEnx8Ma7x=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPpkcOcd6lur7SNSmDa2MeoWTzm1hCYEnx8Ma7x=w1600-h1000-k-no
SSS Luxury Women's Hostel,,"Girls' hostel, Hostel, Working women's hostel",Girls' hostel,Girls' hostel,+91 89787 19005,"Metro Pillar 1718, Police Station, Hno 2-12, near Madhapur, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.439865,78.3948222,4.3,"https://search.google.com/local/reviews?placeid=ChIJlQXOyYCRyzsRrp_eDLnpkBc&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipN_TbjlctOcYa-1tEBX-ZhmQqzCKmqnY14cWKFE=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipN_TbjlctOcYa-1tEBX-ZhmQqzCKmqnY14cWKFE=w1600-h1000-k-no
Lahari Deluxe women's Hostel,https://www.google.com/search?client=ms-unknown,Working women's hostel,Working women's hostel,Working women's hostel,+91 83099 87613,"1-41/1, Hitech City Rd, Kavuri Hills, Madhapur, Gafoornagar, Hyderabad, Telangana 500081","Gafoornagar, Hyderabad",17.4410668,78.3888309,4.4,"https://search.google.com/local/reviews?placeid=ChIJPUyLk4SRyzsRZB23Al5RfLE&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh3.googleusercontent.com/p/AF1QipM7DQ7_IWYvCEFTl8Cl9vmcF6OIACzeRSuxtgfU=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMfMMYvn-0ZxtlDf61EhpTnb1OArIX5Q_9pkDju=w1600-h1000-k-no
Sri Sai Lakshmi Grand Womens Hostel,http://about.me/iamsg,Working women's hostel,Working women's hostel,Working women's hostel,+91 63030 38807,"H. No-65, 3, Plot No -90, 2/90, near Maharaja Chat, Kavuri Hills, Madhapur, Hyderabad, Telangana 500033",Hyderabad,17.4413782,78.3958948,4.5,"https://search.google.com/local/reviews?placeid=ChIJBwGd-tCRyzsRRhAl-Hv22WA&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipMYZ5N29cHisOLoPl8o8XMc1l61VQENPIzrfDUq=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMYZ5N29cHisOLoPl8o8XMc1l61VQENPIzrfDUq=w1600-h1000-k-no
Sindhu Jaddu Women's Hostel,,Working women's hostel,Working women's hostel,Working women's hostel,+91 90320 90203,"H.No.1-90/4/1, behind Image Hosiptal, Arunodaya Colony, Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4437703,78.3861788,4,"https://search.google.com/local/reviews?placeid=ChIJ_3LRu1-RyzsRDozy3aQnwmA&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipORJlF0Ku-dyhubHXLcgRV5EFyrnLBc82V4uvpL=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipORJlF0Ku-dyhubHXLcgRV5EFyrnLBc82V4uvpL=w1600-h1000-k-no
Nirmal Residency Men's Hostel,,"Boys' hostel, Backpacker Hostel, Indoor lodging",Boys' hostel,Boys' hostel,+91 98485 20363,"Plot no 103, Behind Cafe Nandhini,, Arunodhya Colony, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4437511,78.3878141,3.7,"https://search.google.com/local/reviews?placeid=ChIJbcSfRV6RyzsRH6fCL007hgk&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE153Un_UoX1LjE9OJegSS2ifBCvEpc7Jb01QImGdXGX-vzhI_yAl4JC3ipk_ZKGHVp9Kwb2Xs9Q-1BjqlrFtm0S0uJ2399aAdEWii10a-96kNFs_2wTvxHRa4c_E_ObN8Ln2iqEVqxqgCQnliVQz-ZQDCCUeuYKnCJk2UdzJY9xg-3mK0CDNV8O7IfkZijUBjYnJc=w800-h500-k-no,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE153Un_UoX1LjE9OJegSS2ifBCvEpc7Jb01QImGdXGX-vzhI_yAl4JC3ipk_ZKGHVp9Kwb2Xs9Q-1BjqlrFtm0S0uJ2399aAdEWii10a-96kNFs_2wTvxHRa4c_E_ObN8Ln2iqEVqxqgCQnliVQz-ZQDCCUeuYKnCJk2UdzJY9xg-3mK0CDNV8O7IfkZijUBjYnJc=w1600-h1000-k-no
Vrinda Elite Women's Hostel,,Working women's hostel,Working women's hostel,Working women's hostel,+91 95426 27909,"Plot no.2&2/a, Jai Hind Gandhi Rd, Cyber Hills Colony, VIP Hills, Silicon Valley, Madhapur, Hyderabad, Telangana 500081",Hyderabad,17.4495651,78.3868333,4.4,"https://search.google.com/local/reviews?placeid=ChIJuzb1ftORyzsRYgxLvKZQv9M&q=hostel,+500081,+Hyderabad,+Telangana,+IN&authuser=0&hl=en&gl=IN",,https://lh5.googleusercontent.com/p/AF1QipPMj6_D5tv8z0eLexRiXN8-0vbT3T7Kmk4Kh2nc=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPMj6_D5tv8z0eLexRiXN8-0vbT3T7Kmk4Kh2nc=w1600-h1000-k-no
